experiment,order,cl1,cl2,theta,nsteps,sigma,r,tau,S0,S_max,analytic_mae,analytic_mse,market_mae,market_mse,n_options
ordre,1,0.05,0.05,1.0,500,0.2,0.02,0.12054794520547946,41.2,138.0,0.00013559974106169573,2.6401515581574997e-08,0.17299217712066203,0.05232740550444208,11
ordre,2,0.05,0.05,1.0,500,0.2,0.02,0.12054794520547946,41.2,138.0,0.00013337279064120809,2.4640209171697196e-08,0.17299790362424555,0.05233178840590658,11
ordre,3,0.05,0.05,1.0,500,0.2,0.02,0.12054794520547946,41.2,138.0,0.00013337281601966374,2.464021899215806e-08,0.17299790361567305,0.052331788415322336,11
theta,2,0.05,0.05,0.5,500,0.2,0.02,0.12054794520547946,41.2,138.0,7.203295159594815e-08,6.497855755150724e-15,0.1730873658292647,0.05233914776763906,11
theta,2,0.05,0.05,1.0,500,0.2,0.02,0.12054794520547946,41.2,138.0,0.00013337279064120809,2.4640209171697196e-08,0.17299790362424555,0.05233178840590658,11
raffinement_maillage,2,0.1,0.1,1.0,500,0.2,0.02,0.12054794520547946,41.2,138.0,0.0001333723942058425,2.4640066104004173e-08,0.17299790367090714,0.052331788213358085,11
raffinement_maillage,2,0.05,0.05,1.0,500,0.2,0.02,0.12054794520547946,41.2,138.0,0.00013337279064120809,2.4640209171697196e-08,0.17299790362424555,0.05233178840590658,11
raffinement_maillage,2,0.02,0.02,1.0,500,0.2,0.02,0.12054794520547946,41.2,138.0,0.0001333728180481598,2.4640217995466757e-08,0.1729979036300831,0.052331788423965624,11
raffinement_temps,2,0.05,0.05,1.0,100,0.2,0.02,0.12054794520547946,41.2,138.0,0.000665175938695586,6.137547674534228e-07,0.17264077257464266,0.052302803942163086,11
raffinement_temps,2,0.05,0.05,1.0,250,0.2,0.02,0.12054794520547946,41.2,138.0,0.0002665772078880718,9.847093570201827e-08,0.17290853593900726,0.05232447260504307,11
raffinement_temps,2,0.05,0.05,1.0,500,0.2,0.02,0.12054794520547946,41.2,138.0,0.00013337279064120809,2.4640209171697196e-08,0.17299790362424555,0.05233178840590658,11
raffinement_temps,2,0.05,0.05,1.0,1000,0.2,0.02,0.12054794520547946,41.2,138.0,6.670740562343554e-05,6.1628581750249e-09,0.17304260849531056,0.052335463827631476,11
